file,trajectory_format,system_messages,user_messages,assistant_messages,tool_messages,other_messages,total_messages,exit_status,api_calls,instance_cost,failed_tool_observations
data\claude_4_5_opus_high_reasoning\trajectories\35774d6e-ffdd-41fd-a3bf-638733749516.json,docent-transcript-export,1,1,16,21,0,39,,,,0
data\claude_4_5_opus_high_reasoning\trajectories\360eb200-9f10-4dfd-851f-b93f3b64118f.json,docent-transcript-export,1,1,14,16,0,32,,,,0
data\claude_4_5_opus_high_reasoning\trajectories\36ff9459-b0b4-4503-b288-ce4ec2a77232.json,docent-transcript-export,1,1,23,24,0,49,,,,0
data\claude_4_5_opus_high_reasoning\trajectories\3734d93e-037e-47e7-8533-c232a0974d50.json,docent-transcript-export,1,1,44,44,0,90,,,,0
data\claude_4_5_opus_high_reasoning\trajectories\3768f440-1f37-4720-9bda-b9b61cdc206e.json,docent-transcript-export,1,1,16,17,0,35,,,,0
data\claude_4_5_opus_high_reasoning\trajectories\37912fb0-a5cc-4623-b44d-ffa4c3b86f54.json,docent-transcript-export,1,1,14,18,0,34,,,,0
data\claude_4_5_opus_high_reasoning\trajectories\37f93293-0be6-4214-90d6-244ecfbbe69e.json,docent-transcript-export,1,1,24,26,0,52,,,,0
data\claude_4_5_opus_high_reasoning\trajectories\380303e2-6996-4a38-8269-53fb55984c3b.json,docent-transcript-export,1,1,38,39,0,79,,,,0
data\claude_4_5_opus_high_reasoning\trajectories\38ad855d-2ab0-4843-8033-114e8f1632c5.json,docent-transcript-export,1,1,18,23,0,43,,,,0
data\claude_4_5_opus_high_reasoning\trajectories\390b8c0a-e356-441b-b6f5-cbf449ab952e.json,docent-transcript-export,1,1,50,58,0,110,,,,0
data\claude_4_5_opus_high_reasoning\trajectories\391b4be6-1ac6-4169-a9be-64e900ee48a7.json,docent-transcript-export,1,1,75,90,0,167,,,,0
data\claude_4_5_opus_high_reasoning\trajectories\394042a4-c5df-4cf0-a945-23e5e35db9b0.json,docent-transcript-export,1,1,30,43,0,75,,,,0
data\claude_4_5_opus_high_reasoning\trajectories\3953bbd7-c7ac-4978-839f-4c77a0a9e45f.json,docent-transcript-export,1,1,15,15,0,32,,,,0
data\claude_4_5_opus_high_reasoning\trajectories\39bdfb66-83d7-4b35-92f1-81bff804720f.json,docent-transcript-export,1,1,25,25,0,52,,,,0
data\claude_4_5_opus_high_reasoning\trajectories\39f4ac89-3521-4ea9-8eab-563c318688ef.json,docent-transcript-export,1,1,46,51,0,99,,,,0
data\claude_4_5_opus_high_reasoning\trajectories\3a13d090-26a3-449e-aae6-2028808047a2.json,docent-transcript-export,1,1,17,17,0,36,,,,0
data\claude_4_5_opus_high_reasoning\trajectories\3a4bc00c-6389-4b4e-99d2-0f292c1ae805.json,docent-transcript-export,1,1,79,87,0,168,,,,0
data\claude_4_5_opus_high_reasoning\trajectories\3a5f9b6c-9dfd-4747-9784-459806bfb918.json,docent-transcript-export,1,1,48,51,0,101,,,,0
data\claude_4_5_opus_high_reasoning\trajectories\3a733b05-8a96-48a2-ba84-d6765c83280e.json,docent-transcript-export,1,1,31,48,0,81,,,,0
data\claude_4_5_opus_high_reasoning\trajectories\3a9b64bd-be39-451b-a993-b711e0622f4e.json,docent-transcript-export,1,1,64,77,0,143,,,,0
data\claude_4_5_opus_high_reasoning\trajectories\3b18c678-d839-4361-bf4b-9425565d6300.json,docent-transcript-export,1,1,23,28,0,53,,,,0
data\claude_4_5_opus_high_reasoning\trajectories\3bd77fb5-ffde-4139-88e4-99bb56114ef7.json,docent-transcript-export,1,1,22,30,0,54,,,,0
data\claude_4_5_opus_high_reasoning\trajectories\3be2015c-fff6-4896-80f9-61496671fe7a.json,docent-transcript-export,1,1,43,47,0,92,,,,0
data\claude_4_5_opus_high_reasoning\trajectories\3c3a5f9d-d785-4286-b1bf-0774701019d2.json,docent-transcript-export,1,1,40,41,0,83,,,,0
data\claude_4_5_opus_high_reasoning\trajectories\3dfaa28f-543f-4377-b022-5ce489f2d97f.json,docent-transcript-export,1,1,22,23,0,47,,,,0
data\claude_4_5_opus_high_reasoning\trajectories\3e0fc53e-6db6-4eb6-91e1-7f750a698b95.json,docent-transcript-export,1,1,23,28,0,53,,,,0
data\claude_4_5_opus_high_reasoning\trajectories\3e2a087b-8932-4fe9-b90d-5f3c4f3c1447.json,docent-transcript-export,1,1,54,59,0,115,,,,0
data\claude_4_5_opus_high_reasoning\trajectories\3ec5d46a-e899-4ab0-aae0-f1f4547db1a5.json,docent-transcript-export,1,1,58,71,0,131,,,,0
data\claude_4_5_opus_high_reasoning\trajectories\3ec74673-2346-47e8-bcf0-d2c4acb4a813.json,docent-transcript-export,1,1,27,32,0,61,,,,0
data\claude_4_5_opus_high_reasoning\trajectories\3ef7430a-42d3-4851-b660-8f76394631c7.json,docent-transcript-export,1,1,16,16,0,34,,,,0
data\claude_4_5_opus_high_reasoning\trajectories\3f6696cf-8508-4fcf-a5a9-85483ab63137.json,docent-transcript-export,1,1,20,21,0,43,,,,0
data\claude_4_5_opus_high_reasoning\trajectories\3f6b4e6c-8bfd-42b2-8c0f-6a4f894cb6d8.json,docent-transcript-export,1,1,29,29,0,60,,,,0
data\claude_4_5_opus_high_reasoning\trajectories\3f9beb47-19cd-4c19-b2c5-c08d983a06f8.json,docent-transcript-export,1,1,20,21,0,43,,,,0
data\claude_4_5_opus_high_reasoning\trajectories\3fba6f12-b77c-4f0d-982f-0d1c5db33f9a.json,docent-transcript-export,1,1,19,21,0,42,,,,0
data\claude_4_5_opus_high_reasoning\trajectories\41b4a6fb-e25a-4eca-b74a-3c0ff0c78bad.json,docent-transcript-export,1,1,57,65,0,124,,,,0
data\claude_4_5_opus_high_reasoning\trajectories\41b94ffd-7a99-4a81-8896-40b8afa2fcec.json,docent-transcript-export,1,1,37,41,0,80,,,,0
data\claude_4_5_opus_high_reasoning\trajectories\4237e006-4645-4a3c-be40-f2b612a18292.json,docent-transcript-export,1,1,25,25,0,52,,,,0
data\claude_4_5_opus_high_reasoning\trajectories\42b292e6-29a6-478e-955f-f7e9e39b7967.json,docent-transcript-export,1,1,25,33,0,60,,,,0
data\claude_4_5_opus_high_reasoning\trajectories\4312fd89-336b-403f-9b1d-79a1bd984aa6.json,docent-transcript-export,1,1,31,37,0,70,,,,0
data\claude_4_5_opus_high_reasoning\trajectories\43916df4-97b2-4222-b9fb-56b5c11697aa.json,docent-transcript-export,1,1,14,14,0,30,,,,0
data\claude_4_5_opus_high_reasoning\trajectories\43ab4090-9749-4779-8245-b7e82cd7f7ed.json,docent-transcript-export,1,1,39,45,0,86,,,,0
data\claude_4_5_opus_high_reasoning\trajectories\442650b5-70a3-45e3-95a3-a36e42041eb5.json,docent-transcript-export,1,1,27,29,0,58,,,,0
data\claude_4_5_opus_high_reasoning\trajectories\453346fe-1da1-4b1e-8afd-abb437e90a60.json,docent-transcript-export,1,1,32,34,0,68,,,,0
data\claude_4_5_opus_high_reasoning\trajectories\45532239-19b2-40c0-8c0c-9166c7085408.json,docent-transcript-export,1,1,33,34,0,69,,,,0
data\claude_4_5_opus_high_reasoning\trajectories\45d9be61-2e38-49eb-9be9-45b30a08cbaa.json,docent-transcript-export,1,1,71,121,0,194,,,,0
data\claude_4_5_opus_high_reasoning\trajectories\46102e2e-99c3-4657-bd1e-6156ec3f0237.json,docent-transcript-export,1,1,29,39,0,70,,,,0
data\claude_4_5_opus_high_reasoning\trajectories\469eab46-0489-4b08-ac73-a81083d1a950.json,docent-transcript-export,1,1,22,27,0,51,,,,0
data\claude_4_5_opus_high_reasoning\trajectories\47954dac-e106-4a29-b5b1-a396edd371ae.json,docent-transcript-export,1,1,26,29,0,57,,,,0
data\claude_4_5_opus_high_reasoning\trajectories\47bcdb28-a464-41e7-9026-bba1e4cf3e55.json,docent-transcript-export,1,1,33,39,0,74,,,,0
data\claude_4_5_opus_high_reasoning\trajectories\49108d41-c95d-40ba-85f1-3e8072600b0d.json,docent-transcript-export,1,1,38,64,0,104,,,,0
data\claude_4_5_opus_high_reasoning\trajectories\49161cdf-2663-4d6a-9d79-0e04a72c4fd2.json,docent-transcript-export,1,1,75,92,0,169,,,,0
data\claude_4_5_opus_high_reasoning\trajectories\49d53d3b-c0dd-48db-9a23-6914019c028e.json,docent-transcript-export,1,1,23,25,0,50,,,,0
data\claude_4_5_opus_high_reasoning\trajectories\49dff309-0938-43c3-81c6-e51574fcefe8.json,docent-transcript-export,1,1,74,91,0,167,,,,0
data\claude_4_5_opus_high_reasoning\trajectories\49ed1f1a-2cdb-409a-aaac-0698d1a10974.json,docent-transcript-export,1,1,33,39,0,74,,,,0
data\claude_4_5_opus_high_reasoning\trajectories\4a519762-f678-452a-8015-65f9527a6f2f.json,docent-transcript-export,1,1,49,61,0,112,,,,0
data\claude_4_5_opus_high_reasoning\trajectories\4ad9acd9-0401-4497-b11e-30dbe530f8ad.json,docent-transcript-export,1,1,16,16,0,34,,,,0
data\claude_4_5_opus_high_reasoning\trajectories\4ae8168a-fc72-4628-acde-3a0753d36801.json,docent-transcript-export,1,1,48,50,0,100,,,,0
data\claude_4_5_opus_high_reasoning\trajectories\4b2604d6-7a5b-4bdf-9bdf-1e2b2df37df5.json,docent-transcript-export,1,1,29,30,0,61,,,,0
data\claude_4_5_opus_high_reasoning\trajectories\4bb57cb5-e099-49d3-b326-de5cee7722d6.json,docent-transcript-export,1,1,21,21,0,44,,,,0
data\claude_4_5_opus_high_reasoning\trajectories\4c2eccf8-f22d-4784-b6da-c41122d1cc9f.json,docent-transcript-export,1,1,27,30,0,59,,,,0
data\claude_4_5_opus_high_reasoning\trajectories\4c997931-2c18-433c-a228-0976d37f2ec9.json,docent-transcript-export,1,1,30,35,0,67,,,,0
data\claude_4_5_opus_high_reasoning\trajectories\4d671838-e38d-40b1-ac6b-d12355ec0e05.json,docent-transcript-export,1,1,23,25,0,50,,,,0
data\claude_4_5_opus_high_reasoning\trajectories\4d67fb3f-413f-428b-a7d1-119723af0b01.json,docent-transcript-export,1,1,19,19,0,40,,,,0
data\claude_4_5_opus_high_reasoning\trajectories\4dbae3dd-0e75-40ad-8b3f-687c209d5701.json,docent-transcript-export,1,1,33,37,0,72,,,,0
data\claude_4_5_opus_high_reasoning\trajectories\4e95cc2e-dd94-49e5-a615-532a914f0b87.json,docent-transcript-export,1,1,33,33,0,68,,,,0
data\claude_4_5_opus_high_reasoning\trajectories\4f2e3e91-dc48-4b0c-8f95-a50bf6beac77.json,docent-transcript-export,1,1,83,90,0,175,,,,0
data\claude_4_5_opus_high_reasoning\trajectories\4f6bc81b-b7fb-4530-a1b1-a086205f8024.json,docent-transcript-export,1,1,27,28,0,57,,,,0
data\claude_4_5_opus_high_reasoning\trajectories\4fbc1a72-95f6-4f5d-b76a-54b566a694d9.json,docent-transcript-export,1,1,41,53,0,96,,,,0
data\claude_4_5_opus_high_reasoning\trajectories\50b92780-d11c-41db-b6ca-f34fe4e5b259.json,docent-transcript-export,1,1,23,24,0,49,,,,0
data\claude_4_5_opus_high_reasoning\trajectories\512b0689-fe77-4736-a2f9-e6808f38f8e8.json,docent-transcript-export,1,1,64,78,0,144,,,,0
data\claude_4_5_opus_high_reasoning\trajectories\51bb2882-8e62-4865-b7bd-ee7feea2904e.json,docent-transcript-export,1,1,13,18,0,33,,,,0
data\claude_4_5_opus_high_reasoning\trajectories\52419ce1-1b01-4f19-8107-242528922710.json,docent-transcript-export,1,1,20,21,0,43,,,,0
data\claude_4_5_opus_high_reasoning\trajectories\53d12423-8754-4bb0-a699-effa6d98ae9e.json,docent-transcript-export,1,1,38,40,0,80,,,,0
data\claude_4_5_opus_high_reasoning\trajectories\53d8b686-78a2-4200-9538-42f7fa80b9e8.json,docent-transcript-export,1,1,34,36,0,72,,,,0
data\claude_4_5_opus_high_reasoning\trajectories\54534689-1071-448d-9ce3-4bc045147654.json,docent-transcript-export,1,1,38,52,0,92,,,,0
data\claude_4_5_opus_high_reasoning\trajectories\54944297-c170-4b33-a529-090069f4c88c.json,docent-transcript-export,1,1,35,47,0,84,,,,0
data\claude_4_5_opus_high_reasoning\trajectories\5572fdeb-acdb-4b7a-838a-45b3f079ab9c.json,docent-transcript-export,1,1,26,28,0,56,,,,0
data\claude_4_5_opus_high_reasoning\trajectories\55d5366c-d404-4023-bb12-bc0b2bcc793f.json,docent-transcript-export,1,1,27,27,0,56,,,,0
data\claude_4_5_opus_high_reasoning\trajectories\5638f441-b2e2-4c90-bcc5-0c54b0df099a.json,docent-transcript-export,1,1,16,20,0,38,,,,0
data\claude_4_5_opus_high_reasoning\trajectories\581d43c2-3ab0-4630-afea-a752908de375.json,docent-transcript-export,1,1,31,32,0,65,,,,0
data\claude_4_5_opus_high_reasoning\trajectories\582af240-a035-442d-a722-a7a051f252d1.json,docent-transcript-export,1,1,26,27,0,55,,,,0
data\claude_4_5_opus_high_reasoning\trajectories\582c65b8-119f-4392-b41c-2cbddab474e8.json,docent-transcript-export,1,1,26,28,0,56,,,,0
data\claude_4_5_opus_high_reasoning\trajectories\58c60e39-de6e-4eb3-92ac-8d337c085a07.json,docent-transcript-export,1,1,20,28,0,50,,,,0
data\claude_4_5_opus_high_reasoning\trajectories\58cdcda7-2a7d-4e17-8d4c-ab659a04a5e9.json,docent-transcript-export,1,1,21,21,0,44,,,,0
data\claude_4_5_opus_high_reasoning\trajectories\58d4b26d-8479-4ba4-a6f0-2b9188045e2a.json,docent-transcript-export,1,1,25,29,0,56,,,,0
data\claude_4_5_opus_high_reasoning\trajectories\5932d876-a6d8-4e42-99d3-dc204c74553c.json,docent-transcript-export,1,1,21,24,0,47,,,,0
data\claude_4_5_opus_high_reasoning\trajectories\599b5159-3d74-4d35-aa61-e4fafe29898b.json,docent-transcript-export,1,3,63,90,0,157,,,,0
